mtprotosender.py:234 #INFO     [2026-02-04 10:42:01,068] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-02-04 10:42:01,243] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:65 #INFO     [2026-02-04 10:42:02,376] - root - 0| Client has been connected!
utils.py:65 #INFO     [2026-02-04 10:42:02,377] - root - 0| Redis has been initialized!
utils.py:65 #INFO     [2026-02-04 10:42:02,377] - root - 0| Prepare to load data in redis...
utils.py:65 #INFO     [2026-02-04 10:42:02,377] - root - 0| Loading messages data from small groups...
utils.py:65 #INFO     [2026-02-04 10:42:04,861] - root - 0| Data from small groups has been loaded!
subscription_state.py:110 #INFO     [2026-02-04 10:42:04,869] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-commands'})
utils.py:65 #INFO     [2026-02-04 10:42:04,871] - root - 0| Queue worker has been started!
group_coordinator.py:594 #INFO     [2026-02-04 10:42:04,913] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-02-04 10:42:04,914] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-02-04 10:42:04,914] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-02-04 10:42:06,777] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 108) with member_id aiokafka-0.12.0-454548a8-f6d6-4c23-927f-4f75d58b0321
group_coordinator.py:1519 #INFO     [2026-02-04 10:42:07,230] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 108
group_coordinator.py:506 #INFO     [2026-02-04 10:42:07,230] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-commands', partition=0)} for group demo-group
kafka.py:52 #INFO     [2026-02-04 10:42:07,232] - root - 0| Kafka Consumer has been init
kafka.py:32 #INFO     [2026-02-04 10:42:07,268] - root - 0| Kafka Producer has been init
utils.py:65 #INFO     [2026-02-04 10:42:07,269] - root - 0| Event handlers has been registered!
utils.py:65 #INFO     [2026-02-04 10:42:07,269] - root - 0| Kafka listener has been started!
group_coordinator.py:842 #WARNING  [2026-02-04 10:46:40,831] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:415 #INFO     [2026-02-04 10:46:40,842] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-commands', partition=0)}) for group demo-group
group_coordinator.py:1281 #INFO     [2026-02-04 10:46:40,842] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-02-04 10:46:40,849] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 109) with member_id aiokafka-0.12.0-454548a8-f6d6-4c23-927f-4f75d58b0321
group_coordinator.py:1368 #INFO     [2026-02-04 10:46:40,850] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-02-04 10:46:40,863] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 109
group_coordinator.py:506 #INFO     [2026-02-04 10:46:40,864] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-commands', partition=0)} for group demo-group
mtprotosender.py:325 #INFO     [2026-02-04 10:46:41,783] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-02-04 10:46:41,784] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
group_coordinator.py:314 #ERROR    [2026-02-04 10:47:21,809] - aiokafka.consumer.group_coordinator - 0| Error sending LeaveGroupRequest_v1 to node 1 [[Error 7] RequestTimedOutError] -- marking coordinator dead
group_coordinator.py:531 #WARNING  [2026-02-04 10:47:21,810] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:388 #ERROR    [2026-02-04 10:47:21,810] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request failed: [Error 7] RequestTimedOutError
